DateFormatted,Globalstraling,Solskinstid,Lufttemperatur,Lufttrykk,Vindkast,hour,d_Friday,d_Monday,d_Saturday,d_Sunday,d_Thursday,d_Tuesday,d_Wednesday,month,weekend,public_holiday,raining,summer,winter,rush_hour,sleeptime,Vindretning_x,Vindretning_y,Total_trafikk
2023-06-04 13:00:00,796.6166666666667,10.0,16.783333333333335,1016.8000000000001,6.1000000000000005,13,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0.58542943376994,-0.8107233671702126,78.644
2023-06-04 14:00:00,667.8000000000001,10.0,16.68,1016.9166666666666,5.3999999999999995,14,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0.6041356102490563,-0.7968815247130532,79.04
2023-06-04 15:00:00,595.9166666666666,10.0,16.533333333333335,1016.7833333333333,5.05,15,0,0,0,1,0,0,0,6,1,0,0,1,0,1,0,0.796881524713053,-0.6041356102490566,74.784
2023-06-04 16:00:00,436.23333333333335,10.0,16.150000000000002,1016.8833333333333,5.6000000000000005,16,0,0,0,1,0,0,0,6,1,0,0,1,0,1,0,0.6819983600624986,-0.7313537016191703,66.084
2023-06-04 17:00:00,332.8333333333333,10.0,16.183333333333334,1017.1333333333333,6.7,17,0,0,0,1,0,0,0,6,1,0,0,1,0,1,0,0.6041356102490563,-0.7968815247130532,62.38
2023-06-04 18:00:00,200.8166666666667,10.0,15.6,1017.2833333333334,6.6499999999999995,18,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0.6360782202777636,-0.7716245833877202,62.628
2023-06-04 19:00:00,89.91666666666667,10.0,14.366666666666667,1017.8000000000001,6.5,19,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0.58070295571094,-0.814115518356319,54.588
2023-06-04 20:00:00,19.85,5.166666666666667,13.116666666666667,1018.1666666666666,5.8500000000000005,20,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0.5616021067834934,-0.8274074411415102,49.376
2023-06-04 21:00:00,0.05000000000000001,0.0,12.133333333333333,1018.6166666666667,4.8999999999999995,21,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0,0.58070295571094,-0.814115518356319,32.94
2023-06-04 22:00:00,-1.4833333333333334,0.0,10.950000000000001,1018.6833333333334,5.6000000000000005,22,0,0,0,1,0,0,0,6,1,0,0,1,0,0,1,0.6202354912682595,-0.7844156649195761,28.356
2023-06-04 23:00:00,-1.3833333333333335,0.0,10.066666666666666,1018.6666666666666,5.8,23,0,0,0,1,0,0,0,6,1,0,0,1,0,0,1,0.6427876096865393,-0.7660444431189781,18.3
2023-06-05 00:00:00,-1.2833333333333334,0.0,9.450000000000001,1018.8333333333334,5.7,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0.6225146366376193,-0.782608156852414,5.888
2023-06-05 01:00:00,-0.9166666666666666,0.0,9.049999999999999,1018.6500000000001,5.6499999999999995,1,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0.7508800329814992,-0.6604386239990078,2.984
2023-06-05 02:00:00,4.333333333333333,0.0,8.75,1018.6,5.3500000000000005,2,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0.7771459614569706,-0.6293203910498378,2.008
2023-06-05 03:00:00,33.53333333333333,0.0,9.049999999999999,1018.4333333333334,4.5,3,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0.8038568606172175,-0.594822786751341,1.916
2023-06-05 04:00:00,61.81666666666666,0.0,9.416666666666666,1018.2333333333335,4.5,4,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0.9075332975920035,-0.41998013496090975,1.532
2023-06-05 05:00:00,57.583333333333336,0.0,9.383333333333335,1018.2333333333335,4.6499999999999995,5,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0.8306606889933454,-0.5567789684974647,9.956
2023-06-05 06:00:00,106.06666666666666,0.0,9.383333333333333,1018.4333333333334,5.45,6,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0.8021231927550437,-0.5971585917027863,57.132
2023-06-05 07:00:00,166.23333333333332,0.0,9.566666666666666,1018.6,5.3500000000000005,7,0,1,0,0,0,0,0,6,0,0,0,1,0,1,0,0.7233689626317077,-0.69046168894525,212.316
2023-06-05 08:00:00,128.79999999999998,0.0,10.066666666666666,1018.7000000000002,6.25,8,0,1,0,0,0,0,0,6,0,0,0,1,0,1,0,0.8556654912861847,-0.5175292909797204,256.256
2023-06-05 09:00:00,159.54999999999998,0.0,10.416666666666666,1018.6500000000001,6.1499999999999995,9,0,1,0,0,0,0,0,6,0,0,0,1,0,1,0,0.8788171126619652,-0.47715876025960874,91.7
2023-06-05 10:00:00,302.3333333333333,0.0,11.0,1018.4333333333334,6.8500000000000005,10,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0.7213574334002513,-0.6925629597936942,51.956
2023-06-05 11:00:00,625.6999999999999,2.8833333333333333,11.9,1018.0333333333333,7.1499999999999995,11,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0.6018150231520479,-0.798635510047293,54.636
2023-06-05 12:00:00,834.6833333333334,9.0,12.6,1017.7333333333332,7.5,12,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0.5446390350150266,-0.8386705679454243,68.152
2023-06-05 13:00:00,808.2166666666667,10.0,13.0,1017.5,8.049999999999999,13,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0.551936985312058,-0.8338858220671683,79.652
